Temps s;Depressió kPa
0.00000000000000;0.14
0.50000000000000;4.24
1.00000000000000;9.49
1.50000000000000;14.3
2.00000000000000;18.64
2.50000000000000;22.65
3.00000000000000;26.41
3.50000000000000;29.87
4.00000000000000;32.94
4.50000000000000;35.71
5.00000000000000;38.27
5.50000000000000;40.63
6.00000000000000;42.83
6.50000000000000;44.9
7.00000000000000;46.94
7.50000000000000;48.91
8.00000000000000;50.74
8.50000000000000;52.38
9.00000000000000;53.94
9.50000000000000;55.34
10.00000000000000;56.67
10.50000000000000;57.9
11.00000000000000;59.11
11.50000000000000;60.16
12.00000000000000;61.2
12.50000000000000;62.14
13.00000000000000;63.11
13.50000000000000;64.08
14.00000000000000;64.92
14.50000000000000;65.79
15.00000000000000;66.58
15.50000000000000;67.32
16.00000000000000;68.06
16.50000000000000;68.74
17.00000000000000;69.4
17.50000000000000;69.97
18.00000000000000;70.49
18.50000000000000;71.19
19.00000000000000;71.72
19.50000000000000;72.22
20.00000000000000;72.69
20.50000000000000;73.12
21.00000000000000;73.53
21.50000000000000;73.88
22.00000000000000;74.21
22.50000000000000;74.54
23.00000000000000;74.83
23.50000000000000;75.12
24.00000000000000;75.38
24.50000000000000;75.64
25.00000000000000;75.87
25.50000000000000;76.1
26.00000000000000;76.3
26.50000000000000;76.49
27.00000000000000;76.65
27.50000000000000;76.81
28.00000000000000;76.95
28.50000000000000;77.09
29.00000000000000;77.22
29.50000000000000;77.37
30.00000000000000;77.52
30.50000000000000;77.64
31.00000000000000;77.77
31.50000000000000;77.88
32.00000000000000;77.98
32.50000000000000;78.07
33.00000000000000;78.14
33.50000000000000;78.15
34.00000000000000;78.21
34.50000000000000;78.23
35.00000000000000;78.23
35.50000000000000;78.23
36.00000000000000;78.23
36.50000000000000;78.29
37.00000000000000;78.42
37.50000000000000;78.47
37.90000000000000;78.52
