buit;temps;frames;ms;s_afegir;P1;P2;P0;diff;diff_calc;Temp
0;0;0;0;0;0;0;0;0;0;15.9
2.8;0.25;15;25;0;6.75;6.08;5.81;0.83;0.67;15.9
3.7;0.45;27;45;0;6.71;6.01;5.99;0.8;0.7;15.9
4.6;0.65;39;65;0;6.73;6.02;6.03;0.78;0.710000000000001;15.9
5.5;0.85;51;85;0;6.73;6.04;6.04;0.76;0.69;16.1
6.4;1.05;3;5;1;6.73;6.05;6.06;0.75;0.680000000000001;16.1
7.3;1.25;15;25;1;6.71;6.04;6.06;0.75;0.67;16.1
8.2;1.43333333333333;26;43.3333333333333;1;6.72;6.04;6.05;0.74;0.68;16.1
9;1.63333333333333;38;63.3333333333333;1;6.72;6.04;6.05;0.74;0.68;16.1
9.8;1.85;51;85;1;6.71;6.05;6.06;0.74;0.66;16.1
10.7;2.05;3;5;2;6.71;6.05;6.07;0.74;0.66;16.1
15.2;3.25;15;25;3;6.71;6.06;6.07;0.73;0.65;16.1
20.3;4.83333333333333;50;83.3333333333333;4;6.7;6.04;6.05;0.73;0.66;16.5
24.9;6.58333333333333;35;58.3333333333333;6;6.7;6.04;6.05;0.73;0.66;16.6
30.1;8.43333333333333;26;43.3333333333333;8;6.7;6.03;6.04;0.73;0.67;16.7
35.1;10.6166666666667;37;61.6666666666667;10;6.69;6.03;6.04;0.73;0.66;16.5
40;13.0166666666667;1;1.66666666666667;13;6.69;6.03;6.04;0.73;0.66;16.6
45;15.8166666666667;49;81.6666666666667;15;6.68;6.03;6.03;0.73;0.65;16.5
50;19.1833333333333;11;18.3333333333333;19;6.68;6.01;6.03;0.73;0.67;16.5
55;23.2;12;20;23;6.67;6.01;6.02;0.73;0.66;16.5
60.1;28.1833333333333;11;18.3333333333333;28;6.66;6;6.01;0.73;0.66;16.5
65.1;33.9666666666667;58;96.6666666666667;33;6.66;5.99;6;0.72;0.67;16.4
70;41.7666666666667;46;76.6666666666667;41;6.64;5.98;5.99;0.72;0.659999999999999;16.6
75;54.35;21;35;54;6.66;6;6.01;0.73;0.659999999999999;16.4
76;57.75;45;75;57;6.68;6.02;6.02;0.73;0.659999999999999;16.4
77;61.3333333333333;20;33.3333333333333;61;6.67;6.01;6.02;0.73;0.659999999999999;16.5
78;65.5166666666667;31;51.6666666666667;65;6.66;6;6.01;0.73;0.659999999999999;16.5
79;71.3166666666667;19;31.6666666666667;71;6.65;5.99;6;0.72;0.659999999999999;16.5
80;80.5166666666667;31;51.6666666666667;80;6.63;5.97;5.98;0.72;0.659999999999999;16.5
